, id, Time, Is_CH, who CH, Dist_To_CH, ADV_S, ADV_R, JOIN_S, JOIN_R, SCH_S, SCH_R,Rank, DATA_S, DATA_R, Data_Sent_To_BS, dist_CH_To_BS, send_code ,Expaned Energy
 id,1.0,0.6743409357338296,0.17963004563642374,0.9999999942307556,-0.3294206158107132,0.04227473063843804,-0.039084167055578184,-0.560379181930586,-0.04662100752988588,-0.023082682265656514,-0.510453286146155,-0.23899764441941634,-0.18315399346691325,0.05778784426175405,0.08829145266820466,0.48495072546284274,-0.29161572412452524,0.0017052079299915014
 Time,0.6743409357338296,1.0,0.28103080298339267,0.6743544057816125,-0.3516901031997981,0.012619196654249584,0.06174652937322045,-0.5022308307759209,-0.03995274993192119,3.4562849683705135e-05,-0.43929780486493714,-0.3168460126861221,-0.04314006121044264,0.08127619175120926,0.059936520638627894,0.352363448378657,-0.24204188840958835,0.028068680126917683
 Is_CH,0.17963004563642374,0.28103080298339267,1.0,0.17963650616898894,-0.3729977717471472,0.35846087504808366,0.39904405775949225,-0.6816338687939533,0.4326106658573177,0.2891872707497529,-0.602295482620919,-0.2389605080909399,-0.3814924609505671,0.2873752493709123,0.365644236083509,0.3108683678507815,-0.37595888840756964,0.23476939274364053
 who CH,0.9999999942307556,0.6743544057816125,0.17963650616898894,1.0,-0.32943317026126917,0.042273178652518395,-0.039080988177616384,-0.5603967474922503,-0.04662200584868148,-0.02308288648819673,-0.5104711139930665,-0.23900613571942259,-0.18315577611810405,0.05780311790186025,0.08829510736620852,0.48496558895570024,-0.29162226192924745,0.0017132376334986806
 Dist_To_CH,-0.3294206158107132,-0.3516901031997981,-0.3729977717471472,-0.32943317026126917,1.0,-0.1337051076514708,-0.011440180936196614,0.5472113238843156,-0.16120427548331334,-0.107866207607298,0.4598253151566133,0.3831664289679671,-0.006209643605559552,-0.314871234380443,-0.21716598524411374,-0.4209249485491528,0.19833298180263226,-0.18156192856896844
 ADV_S,0.04227473063843804,0.012619196654249584,0.35846087504808366,0.042273178652518395,-0.1337051076514708,1.0,0.2387835881504947,-0.24433907307029468,0.08530668036423558,0.040783067172624865,-0.18852880378470874,-0.08565799283221334,-0.13675012137658313,0.057486591687374904,0.1486772417711848,0.20034236487680349,-0.13476655212068495,0.11807054603453898
 ADV_R,-0.039084167055578184,0.06174652937322045,0.39904405775949225,-0.039080988177616384,-0.011440180936196614,0.2387835881504947,1.0,-0.10005864506377785,-0.05948211135864065,-0.03888127763926941,-0.22227462584304586,-0.020492989743177665,-0.0641461894183771,-0.1253635603245202,-0.03032339149706154,-0.07670416527746776,0.14214722751976794,0.07506262052376508
 JOIN_S,-0.560379181930586,-0.5022308307759209,-0.6816338687939533,-0.5603967474922503,0.5472113238843156,-0.24433907307029468,-0.10005864506377785,1.0,-0.2948701652585742,-0.19711983816712925,0.8983214751481124,0.3138031276443865,0.48670479526503685,-0.5849432676550992,-0.38213747198106646,-0.7617346699894612,0.5515554693207491,-0.32222588250485623
 JOIN_R,-0.04662100752988588,-0.03995274993192119,0.4326106658573177,-0.04662200584868148,-0.16120427548331334,0.08530668036423558,-0.05948211135864065,-0.2948701652585742,1.0,0.614215426024078,-0.2697011680852769,-0.10340211544413297,-0.16489369868547257,0.4478741852151299,0.16427582531562643,0.13109086771946774,-0.1626528604610823,0.2117078532107221
 SCH_S,-0.023082682265656514,3.4562849683705135e-05,0.2891872707497529,-0.02308288648819673,-0.107866207607298,0.040783067172624865,-0.03888127763926941,-0.19711983816712925,0.614215426024078,1.0,-0.1803047476390938,-0.06910433715179647,-0.11032276359390275,0.029430166971638052,0.05320483377809975,0.004973135718040288,-0.10872252485270005,0.0317864993564535
