Feature,Importance
 ADV_S,0.15314967059717752
 SCH_S,0.13888373090218414
Expaned Energy,0.1191890733669119
 Data_Sent_To_BS,0.0688218992792935
 Is_CH_ratio,0.06833504451781024
 Is_CH,0.051609044450611756
 dist_CH_To_BS,0.05016344621069717
 ADV_R,0.04476234413477851
 JOIN_R,0.03470379569815271
 DATA_R,0.030940011029753408
 DATA_S,0.026338251843752568
 id_ratio,0.022465913635708042
 Time,0.021766191890855064
 send_code ,0.018752425693777657
 JOIN_S,0.01789315415093247
 who CH_ratio,0.01784734238721165
 Time_ratio,0.01702427147563088
Rank,0.012870844291380796
 Dist_To_CH_ratio,0.012341533861448558
mean_all,0.011894817574183626
 Dist_To_CH,0.011338758534088144
 SCH_R,0.009606733711866223
std_all,0.008296735530814201
 who CH_x_ id,0.007134661711642013
range_all,0.006355825163362561
 who CH,0.006264941638257886
max_all,0.0059411370276089455
 id,0.005308399690107732
min_all,0.0
