feature,importance
 ADV_S,0.17819073600400562
 Is_CH,0.1543939063621263
Expaned Energy,0.1424280250591217
 Data_Sent_To_BS,0.10582529734366186
 SCH_S,0.07116974443528049
 DATA_S,0.05285868515466077
 dist_CH_To_BS,0.04264113379985456
Rank,0.037898009669906835
 DATA_R,0.03256031044332682
 ADV_R,0.03243179676809729
 JOIN_R,0.029229168177315346
 id,0.023246417204702444
 Time,0.021155638871805705
 who CH,0.02111196172588408
 send_code ,0.020383233304924343
 JOIN_S,0.01881534046845089
 Dist_To_CH,0.013045367802478497
 SCH_R,0.0026152274043965223
