class,feature,mean,std,min,max,median
Blackhole, id,559903.2951859684,414860.3840660962,101000.0,3002096.0,506031.0
Blackhole, Time,2210.141808682672,1008.7057289497698,53.0,3553.0,2403.0
Blackhole, Is_CH,1.0,0.0,1.0,1.0,1.0
Blackhole, who CH,559935.0226396318,414870.2810835465,101000.0,3002100.0,506100.0
Blackhole, Dist_To_CH,0.0,0.0,0.0,0.0,0.0
Blackhole, ADV_S,1.0,0.0,1.0,1.0,1.0
Blackhole, ADV_R,17.02500310983953,9.563982717004578,0.0,28.0,24.0
Blackhole, JOIN_S,0.0,0.0,0.0,0.0,0.0
Blackhole, JOIN_R,5.145664883692001,11.446275442279122,0.0,99.0,0.0
Blackhole, SCH_S,0.36932454285358873,0.4826519478313759,0.0,1.0,0.0
Blackhole, SCH_R,0.021271302400796117,0.1442963067666223,0.0,1.0,0.0
Blackhole,Rank,0.0,0.0,0.0,0.0,0.0
Blackhole, DATA_S,0.0,0.0,0.0,0.0,0.0
Blackhole, DATA_R,305.03221793755444,453.46245806877425,0.0,1372.0,0.0
Blackhole, Data_Sent_To_BS,0.0,0.0,0.0,0.0,0.0
Blackhole, dist_CH_To_BS,0.0,0.0,0.0,0.0,0.0
Blackhole, send_code ,0.0,0.0,0.0,0.0,0.0
Blackhole,Expaned Energy,0.19009190322179376,0.5111690123220092,0.00224,2.36378,0.00471
Flooding, id,319660.1377358491,189202.48236666276,101001.0,902096.0,301088.0
Flooding, Time,703.622641509434,296.68259718692383,53.0,1303.0,753.0
Flooding, Is_CH,1.0,0.0,1.0,1.0,1.0
Flooding, who CH,319660.17962264153,189202.45676582845,101001.0,902096.0,301088.0
Flooding, Dist_To_CH,0.0,0.0,0.0,0.0,0.0
Flooding, ADV_S,17.092830188679244,13.005170208830744,1.0,97.0,15.0
Flooding, ADV_R,23.952075471698112,7.1891059309494185,0.0,28.0,28.0
Flooding, JOIN_S,0.0,0.0,0.0,0.0,0.0
Flooding, JOIN_R,2.601509433962264,10.80635681736097,0.0,124.0,0.0
Flooding, SCH_S,0.16867924528301886,0.3745390408910172,0.0,1.0,0.0
Flooding, SCH_R,0.1890566037735849,0.3916274768195061,0.0,1.0,0.0
Flooding,Rank,0.0,0.0,0.0,0.0,0.0
Flooding, DATA_S,0.0,0.0,0.0,0.0,0.0
Flooding, DATA_R,142.6433962264151,313.42255503203074,0.0,1360.0,0.0
Flooding, Data_Sent_To_BS,32.61245283018868,55.840301697941264,0.0,241.0,13.0
Flooding, dist_CH_To_BS,126.6434034754717,40.28753647621485,0.0,201.93494,126.71753
Flooding, send_code ,0.0,0.0,0.0,0.0,0.0
Flooding,Expaned Energy,1.2276412037735847,1.0684701651572348,0.00742,4.61098,0.912125
Grayhole, id,659688.9835574205,510503.7451234742,101000.0,3301096.0,602029.0
Grayhole, Time,2282.4036139419372,935.9111997351087,53.0,3553.0,2503.0
Grayhole, Is_CH,1.0,0.0,1.0,1.0,1.0
Grayhole, who CH,659725.3973623362,510509.20212879573,101000.0,3301100.0,602100.0
Grayhole, Dist_To_CH,0.0,0.0,0.0,0.0,0.0
Grayhole, ADV_S,1.0,0.0,1.0,1.0,1.0
