feature,importance_mean,importance_std
 Data_Sent_To_BS,0.028833758157287236,0.0002467392950805706
Expaned Energy,0.018376416265196992,0.00016774725541451738
 SCH_S,0.01598494655225342,9.675079850210975e-05
 ADV_S,0.009258937984599624,0.00011017718463452731
 DATA_R,0.009096125872446126,8.549299976269092e-05
 dist_CH_To_BS,0.004174395793575658,6.613647761796283e-05
 Is_CH,0.002476879345548766,6.836106108053307e-05
 Time,0.002327412488489755,0.00010861430851230293
 ADV_R,0.00132118025436061,7.111906687023477e-05
 who CH,0.0007900391015975173,3.2028612226930873e-05
 JOIN_R,0.0007580104893705863,1.9613439281361768e-05
 id,0.0006992913669545464,5.4438172912805666e-05
 SCH_R,0.00033896947940168507,3.43883168343144e-05
 Dist_To_CH,-5.338102037821813e-06,1.0676204075643624e-05
 JOIN_S,-1.601430611342103e-05,9.986674460537032e-06
 DATA_S,-4.5373867321418794e-05,4.186242948058688e-05
 send_code ,-5.8719122415928914e-05,1.3609543228201415e-05
Rank,-0.0001307834999265234,1.9613439281361768e-05
